StateAbbreviation,GeographyName,Geography,Agency,BMPShortName,BMP,BMPType,Unit,Sector,FromLoadSource,ToLoadSource,AmountSubmitted,AmountBackedOut,AmountNotBackedOut,AmountCredited,Excess,TotalAmountCredited,Cost
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,Non-Regulated Roads,Non-Regulated Roads,8.709123261,0,8.709123261,8.709123261,0,8.709123261,11462.07712
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,Non-Regulated Buildings and Other,Non-Regulated Buildings and Other,47.98417115,0,47.98417115,47.98417115,0,47.98417115,63151.96765
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Impervious,Non-Regulated Tree Canopy over Impervious,1.358309392,0,1.358309392,1.358309392,0,1.358309392,1787.670991
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Turf Grass,Non-Regulated Tree Canopy over Turf Grass,6.766266601,0,6.766266601,6.766266601,0,6.766266601,8905.083474
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,Non-Regulated Turf Grass,Non-Regulated Turf Grass,22.02467111,0,22.02467111,22.02467111,0,22.02467111,28986.66965
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,MS4 Roads,MS4 Roads,1.484929425,0,1.484929425,1.484929425,0,1.484929425,1954.315616
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,MS4 Buildings and Other,MS4 Buildings and Other,3.045323984,0,3.045323984,3.045323984,0,3.045323984,4007.950896
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Impervious,MS4 Tree Canopy over Impervious,0.096066036,0,0.096066036,0.096066036,0,0.096066036,126.4325103
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Turf Grass,MS4 Tree Canopy over Turf Grass,0.43954405,0,0.43954405,0.43954405,0,0.43954405,578.4839242
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,MS4 Turf Grass,MS4 Turf Grass,1.454675929,0,1.454675929,1.454675929,0,1.454675929,1914.49899
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,CSS Roads,CSS Roads,0.702988772,0,0.702988772,0.702988772,0,0.702988772,925.203523
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,CSS Buildings and Other,CSS Buildings and Other,3.799477772,0,3.799477772,3.799477772,0,3.799477772,5000.492696
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,CSS Tree Canopy over Impervious,CSS Tree Canopy over Impervious,0.244076428,0,0.244076428,0.244076428,0,0.244076428,321.2289872
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,CSS Tree Canopy over Turf Grass,CSS Tree Canopy over Turf Grass,1.020318476,0,1.020318476,1.020318476,0,1.020318476,1342.841147
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,CSS Turf Grass,CSS Turf Grass,3.810276635,0,3.810276635,3.810276635,0,3.810276635,5014.705079
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,Non-Regulated Roads,Non-Regulated Roads,0.146364789,0,0.146364789,0.146364789,0,0.146364789,125.1418947
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,Non-Regulated Buildings and Other,Non-Regulated Buildings and Other,0.806417912,0,0.806417912,0.806417912,0,0.806417912,689.4873145
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Impervious,Non-Regulated Tree Canopy over Impervious,0.022827631,0,0.022827631,0.022827631,0,0.022827631,19.51762454
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Turf Grass,Non-Regulated Tree Canopy over Turf Grass,0.113713308,0,0.113713308,0.113713308,0,0.113713308,97.22487805
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,Non-Regulated Turf Grass,Non-Regulated Turf Grass,0.370144764,0,0.370144764,0.370144764,0,0.370144764,316.4737729
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,MS4 Roads,MS4 Roads,0.024955597,0,0.024955597,0.024955597,0,0.024955597,21.33703561
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,MS4 Buildings and Other,MS4 Buildings and Other,0.051179455,0,0.051179455,0.051179455,0,0.051179455,43.75843437
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Impervious,MS4 Tree Canopy over Impervious,0.001614478,0,0.001614478,0.001614478,0,0.001614478,1.380378367
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Turf Grass,MS4 Tree Canopy over Turf Grass,0.00738694,0,0.00738694,0.00738694,0,0.00738694,6.315833881
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,MS4 Turf Grass,MS4 Turf Grass,0.02444716,0,0.02444716,0.02444716,0,0.02444716,20.90232184
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,CSS Roads,CSS Roads,0.01181437,0,0.01181437,0.01181437,0,0.01181437,10.10128603
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,CSS Buildings and Other,CSS Buildings and Other,0.0638537,0,0.0638537,0.0638537,0,0.0638537,54.59491321
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,CSS Tree Canopy over Impervious,CSS Tree Canopy over Impervious,0.004101928,0,0.004101928,0.004101928,0,0.004101928,3.507148088
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,CSS Tree Canopy over Turf Grass,CSS Tree Canopy over Turf Grass,0.017147385,0,0.017147385,0.017147385,0,0.017147385,14.66101422
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,dryponds,Dry Detention Ponds and Hydrodynamic Structures,Efficiency,Acres Treated,Developed,CSS Turf Grass,CSS Turf Grass,0.064035184,0,0.064035184,0.064035184,0,0.064035184,54.75008211
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,Non-Regulated Roads,Non-Regulated Roads,8.139458932,0,8.139458932,8.139458932,0,8.139458932,24960.79034
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,Non-Regulated Buildings and Other,Non-Regulated Buildings and Other,44.84552012,0,44.84552012,44.84552012,0,44.84552012,137525.0658
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Impervious,Non-Regulated Tree Canopy over Impervious,1.269462198,0,1.269462198,1.269462198,0,1.269462198,3892.983556
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Turf Grass,Non-Regulated Tree Canopy over Turf Grass,6.323684484,0,6.323684484,6.323684484,0,6.323684484,19392.46379
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,Non-Regulated Turf Grass,Non-Regulated Turf Grass,20.58403483,0,20.58403483,20.58403483,0,20.58403483,63123.82458
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,MS4 Roads,MS4 Roads,1.387799985,0,1.387799985,1.387799985,0,1.387799985,4255.882947
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,MS4 Buildings and Other,MS4 Buildings and Other,2.846128975,0,2.846128975,2.846128975,0,2.846128975,8728.052959
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Impervious,MS4 Tree Canopy over Impervious,0.089782345,0,0.089782345,0.089782345,0,0.089782345,275.3301297
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Turf Grass,MS4 Tree Canopy over Turf Grass,0.410793439,0,0.410793439,0.410793439,0,0.410793439,1259.755593
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,MS4 Turf Grass,MS4 Turf Grass,1.359525383,0,1.359525383,1.359525383,0,1.359525383,4169.174919
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,CSS Roads,CSS Roads,0.657006191,0,0.657006191,0.657006191,0,0.657006191,2014.801465
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,CSS Buildings and Other,CSS Buildings and Other,3.550953659,0,3.550953659,3.550953659,0,3.550953659,10889.49653
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,CSS Tree Canopy over Impervious,CSS Tree Canopy over Impervious,0.22811136,0,0.22811136,0.22811136,0,0.22811136,699.5354217
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,CSS Tree Canopy over Turf Grass,CSS Tree Canopy over Turf Grass,0.953579365,0,0.953579365,0.953579365,0,0.953579365,2924.284625
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,filter,Filtering Practices,Efficiency,Acres Treated,Developed,CSS Turf Grass,CSS Turf Grass,3.561046023,0,3.561046023,3.561046023,0,3.561046023,10920.44618
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,Non-Regulated Roads,Non-Regulated Roads,1.939572842,0,1.939572842,1.939572842,0,1.939572842,9242.16157
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,Non-Regulated Buildings and Other,Non-Regulated Buildings and Other,10.68635586,0,10.68635586,10.68635586,0,10.68635586,50921.02001
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Impervious,Non-Regulated Tree Canopy over Impervious,0.302503461,0,0.302503461,0.302503461,0,0.302503461,1441.444117
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Turf Grass,Non-Regulated Tree Canopy over Turf Grass,1.506887288,0,1.506887288,1.506887288,0,1.506887288,7180.393271
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,Non-Regulated Turf Grass,Non-Regulated Turf Grass,4.905023398,0,4.905023398,4.905023398,0,4.905023398,23372.68174
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,MS4 Roads,MS4 Roads,0.330702478,0,0.330702478,0.330702478,0,0.330702478,1575.813841
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,MS4 Buildings and Other,MS4 Buildings and Other,0.678211481,0,0.678211481,0.678211481,0,0.678211481,3231.711619
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Impervious,MS4 Tree Canopy over Impervious,0.02139447,0,0.02139447,0.02139447,0,0.02139447,101.9457181
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Turf Grass,MS4 Tree Canopy over Turf Grass,0.09788904,0,0.09788904,0.09788904,0,0.09788904,466.4461707
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,MS4 Turf Grass,MS4 Turf Grass,0.323964858,0,0.323964858,0.323964858,0,0.323964858,1543.708749
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,CSS Roads,CSS Roads,0.15655972,0,0.15655972,0.15655972,0,0.15655972,746.0148931
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,CSS Buildings and Other,CSS Buildings and Other,0.846165985,0,0.846165985,0.846165985,0,0.846165985,4032.023226
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,CSS Tree Canopy over Impervious,CSS Tree Canopy over Impervious,0.054357248,0,0.054357248,0.054357248,0,0.054357248,259.0150049
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,CSS Tree Canopy over Turf Grass,CSS Tree Canopy over Turf Grass,0.227230917,0,0.227230917,0.227230917,0,0.227230917,1082.766682
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,rr,Stormwater Performance Standard-Runoff Reduction,Efficiency,Acres Treated,Developed,CSS Turf Grass,CSS Turf Grass,0.848570904,0,0.848570904,0.848570904,0,0.848570904,4043.482787
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,Non-Regulated Roads,Non-Regulated Roads,0.977306067,0,0.977306067,0.977306067,0,0.977306067,6458.800786
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,Non-Regulated Buildings and Other,Non-Regulated Buildings and Other,5.384608213,0,5.384608213,5.384608213,0,5.384608213,35585.69107
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Impervious,Non-Regulated Tree Canopy over Impervious,0.152424523,0,0.152424523,0.152424523,0,0.152424523,1007.340139
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Turf Grass,Non-Regulated Tree Canopy over Turf Grass,0.756776929,0,0.756776929,0.756776929,0,0.756776929,5001.372235
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,Non-Regulated Turf Grass,Non-Regulated Turf Grass,2.463361838,0,2.463361838,2.463361838,0,2.463361838,16279.81645
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,MS4 Roads,MS4 Roads,0.166633354,0,0.166633354,0.166633354,0,0.166633354,1101.243177
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,MS4 Buildings and Other,MS4 Buildings and Other,0.341735135,0,0.341735135,0.341735135,0,0.341735135,2258.452325
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Impervious,MS4 Tree Canopy over Impervious,0.01078018,0,0.01078018,0.01078018,0,0.01078018,71.24383705
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Turf Grass,MS4 Tree Canopy over Turf Grass,0.049161054,0,0.049161054,0.049161054,0,0.049161054,324.8945925
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,MS4 Turf Grass,MS4 Turf Grass,0.162699048,0,0.162699048,0.162699048,0,0.162699048,1075.242216
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,CSS Roads,CSS Roads,0.078886835,0,0.078886835,0.078886835,0,0.078886835,521.3457352
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,CSS Buildings and Other,CSS Buildings and Other,0.42636353,0,0.42636353,0.42636353,0,0.42636353,2817.742771
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,CSS Tree Canopy over Impervious,CSS Tree Canopy over Impervious,0.027389364,0,0.027389364,0.027389364,0,0.027389364,181.0102821
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,CSS Tree Canopy over Turf Grass,CSS Tree Canopy over Turf Grass,0.114118104,0,0.114118104,0.114118104,0,0.114118104,754.1814463
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioretudab,"Bioretention/raingardens - A/B soils, underdrain",Efficiency,Acres Treated,Developed,CSS Turf Grass,CSS Turf Grass,0.426162551,0,0.426162551,0.426162551,0,0.426162551,2816.414544
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,Non-Regulated Roads,Non-Regulated Roads,0.128401067,0,0.128401067,0.128401067,0,0.128401067,337.6524348
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,Non-Regulated Buildings and Other,Non-Regulated Buildings and Other,0.707444166,0,0.707444166,0.707444166,0,0.707444166,1860.3447
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Impervious,Non-Regulated Tree Canopy over Impervious,0.02002594,0,0.02002594,0.02002594,0,0.02002594,52.66161239
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Turf Grass,Non-Regulated Tree Canopy over Turf Grass,0.099756984,0,0.099756984,0.099756984,0,0.099756984,262.3279471
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,Non-Regulated Turf Grass,Non-Regulated Turf Grass,0.324715959,0,0.324715959,0.324715959,0,0.324715959,853.8958163
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,MS4 Roads,MS4 Roads,0.021892734,0,0.021892734,0.021892734,0,0.021892734,57.57066533
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,MS4 Buildings and Other,MS4 Buildings and Other,0.044898072,0,0.044898072,0.044898072,0,0.044898072,118.0671121
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Impervious,MS4 Tree Canopy over Impervious,0.001416329,0,0.001416329,0.001416329,0,0.001416329,3.724477034
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Turf Grass,MS4 Tree Canopy over Turf Grass,0.006480322,0,0.006480322,0.006480322,0,0.006480322,17.04110843
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,MS4 Turf Grass,MS4 Turf Grass,0.021446698,0,0.021446698,0.021446698,0,0.021446698,56.39773771
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,CSS Roads,CSS Roads,0.010364362,0,0.010364362,0.010364362,0,0.010364362,27.25485224
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,CSS Buildings and Other,CSS Buildings and Other,0.056016774,0,0.056016774,0.056016774,0,0.056016774,147.3056289
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,CSS Tree Canopy over Impervious,CSS Tree Canopy over Impervious,0.003598488,0,0.003598488,0.003598488,0,0.003598488,9.462835235
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,CSS Tree Canopy over Turf Grass,CSS Tree Canopy over Turf Grass,0.015042844,0,0.015042844,0.015042844,0,0.015042844,39.55771561
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,bioswale,Bioswale,Efficiency,Acres Treated,Developed,CSS Turf Grass,CSS Turf Grass,0.056175984,0,0.056175984,0.056175984,0,0.056175984,147.7242992
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,vegopchannoudab,"Vegetated Open Channels - A/B soils, no underdrain",Efficiency,Acres Treated,Developed,Non-Regulated Roads,Non-Regulated Roads,0.345422387,0,0.345422387,0.345422387,0,0.345422387,2263.331833
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,vegopchannoudab,"Vegetated Open Channels - A/B soils, no underdrain",Efficiency,Acres Treated,Developed,Non-Regulated Buildings and Other,Non-Regulated Buildings and Other,1.903154287,0,1.903154287,1.903154287,0,1.903154287,12470.15202
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,vegopchannoudab,"Vegetated Open Channels - A/B soils, no underdrain",Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Impervious,Non-Regulated Tree Canopy over Impervious,0.053873443,0,0.053873443,0.053873443,0,0.053873443,352.9981921
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,vegopchannoudab,"Vegetated Open Channels - A/B soils, no underdrain",Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Turf Grass,Non-Regulated Tree Canopy over Turf Grass,0.268364547,0,0.268364547,0.268364547,0,0.268364547,1758.42112
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,vegopchannoudab,"Vegetated Open Channels - A/B soils, no underdrain",Efficiency,Acres Treated,Developed,Non-Regulated Turf Grass,Non-Regulated Turf Grass,0.873545359,0,0.873545359,0.873545359,0,0.873545359,5723.783669
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,vegopchannoudab,"Vegetated Open Channels - A/B soils, no underdrain",Efficiency,Acres Treated,Developed,MS4 Roads,MS4 Roads,0.058895462,0,0.058895462,0.058895462,0,0.058895462,385.9042709
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,vegopchannoudab,"Vegetated Open Channels - A/B soils, no underdrain",Efficiency,Acres Treated,Developed,MS4 Buildings and Other,MS4 Buildings and Other,0.120784032,0,0.120784032,0.120784032,0,0.120784032,791.4204606
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,vegopchannoudab,"Vegetated Open Channels - A/B soils, no underdrain",Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Impervious,MS4 Tree Canopy over Impervious,0.003810183,0,0.003810183,0.003810183,0,0.003810183,24.96569333
